index,temp,humidity,precip,date
0,25.391666666666666,52.1575,0.0166666666666666,01-01
1,25.741666666666664,52.30166666666667,0.0,02-01
2,26.066666666666663,48.33083333333333,0.0,03-01
3,25.691666666666663,49.60416666666668,0.0,04-01
4,25.75,49.91833333333332,1.1,05-01
5,25.85,47.734166666666674,0.0,06-01
6,25.95,46.0725,0.5,07-01
7,25.29166666666667,47.77916666666667,0.0083333333333333,08-01
8,25.441666666666677,46.5975,0.0,09-01
9,25.45,47.315000000000005,0.0166666666666666,10-01
10,25.649999999999995,46.153333333333336,0.0,11-01
11,25.725,45.33583333333333,0.0,12-01
12,26.133333333333336,43.02583333333335,0.0,13-01
13,26.1,44.22833333333333,0.0,14-01
14,25.991666666666664,45.940000000000005,0.0,15-01
15,26.183333333333334,44.6925,0.0,16-01
16,26.433333333333334,45.571666666666665,0.0,17-01
17,26.1,43.18,0.0,18-01
18,26.1,45.48166666666666,0.0,19-01
19,26.008333333333336,44.82750000000001,0.0,20-01
20,26.225,42.798333333333325,0.0,21-01
21,25.916666666666668,43.69,0.0,22-01
22,26.416666666666668,44.93416666666666,0.0,23-01
23,26.466666666666654,46.321666666666665,0.0,24-01
24,26.66666666666666,42.803333333333335,0.0,25-01
25,26.58333333333333,42.63666666666666,0.0,26-01
26,27.591666666666672,41.40749999999999,0.0,27-01
27,26.28333333333333,45.13666666666666,0.0,28-01
28,26.566666666666663,43.22833333333333,0.0,29-01
29,26.83333333333333,41.91416666666667,0.0,30-01
30,27.041666666666668,41.39000000000001,0.0,31-01
31,27.266666666666666,41.04166666666666,0.0,01-02
32,27.04166666666666,42.598333333333336,0.0,02-02
33,27.40833333333333,41.56833333333333,0.0,03-02
34,27.575,38.660833333333336,0.0,04-02
35,27.325000000000003,39.325833333333335,0.0,05-02
36,28.008333333333336,39.44083333333334,0.0,06-02
37,26.875000000000004,41.13583333333334,0.0,07-02
38,27.575,37.465,0.0,08-02
39,27.199999999999992,37.39083333333333,0.0,09-02
40,27.1,39.10249999999999,11.666666666666666,10-02
41,27.818181818181817,41.53545454545454,0.0,11-02
42,27.85454545454545,40.67545454545455,0.0,12-02
43,28.308333333333334,38.76833333333334,0.0,13-02
44,28.53333333333333,37.07833333333334,0.0,14-02
45,28.38333333333333,39.96833333333333,0.0,15-02
