index,temp,humidity,precip,date
0,19.75,57.63833333333334,0.0249999999999999,01-01
1,20.075,57.23999999999999,0.0,02-01
2,19.916666666666668,56.46916666666667,0.0,03-01
3,19.9,56.50333333333333,0.0,04-01
4,19.65,55.85500000000001,0.0,05-01
5,19.15,51.807500000000005,0.0,06-01
6,19.125,53.2875,0.175,07-01
7,19.258333333333333,54.61416666666667,0.4333333333333333,08-01
8,18.891666666666666,55.97333333333333,0.35,09-01
9,18.791666666666664,52.40083333333334,0.1166666666666666,10-01
10,19.05,51.28,0.0,11-01
11,19.8,50.82916666666667,0.0,12-01
12,19.891666666666666,51.42583333333332,0.0,13-01
13,20.091666666666665,52.43083333333332,0.0,14-01
14,20.125,56.13583333333332,0.0,15-01
15,20.025,54.45916666666667,0.0,16-01
16,20.008333333333333,53.64333333333333,0.0,17-01
17,19.541666666666668,54.01333333333334,0.0,18-01
18,19.64166666666667,51.79,0.0,19-01
19,19.48333333333333,51.72416666666667,0.0,20-01
20,19.791666666666668,51.74333333333334,0.075,21-01
21,20.241666666666667,53.8625,0.0,22-01
22,20.28333333333333,55.67416666666666,0.4083333333333334,23-01
23,20.60833333333333,52.598333333333336,0.0999999999999999,24-01
24,20.5,49.6025,0.0583333333333333,25-01
25,20.20833333333333,48.77166666666667,0.0,26-01
26,20.216666666666665,50.24583333333333,0.0,27-01
27,20.075,49.080000000000005,0.0,28-01
28,19.95833333333333,46.1875,0.0,29-01
29,20.4,44.90416666666667,0.0,30-01
30,21.166666666666664,45.91666666666666,0.0,31-01
31,21.48333333333333,46.43333333333334,0.0,01-02
32,21.85833333333333,45.024166666666666,0.0,02-02
33,22.03333333333333,46.55416666666667,0.0,03-02
34,22.15,47.215,0.0,04-02
35,21.83333333333333,49.826666666666654,0.0,05-02
36,21.4,48.82333333333333,0.0,06-02
37,20.875,46.61583333333334,0.0,07-02
38,20.258333333333333,46.465,0.0,08-02
39,20.366666666666664,44.69416666666666,0.0,09-02
40,21.316666666666663,43.754166666666656,0.0166666666666666,10-02
41,21.975,47.17916666666667,1.35,11-02
42,21.941666666666663,50.04416666666668,0.0416666666666666,12-02
43,22.55,48.95250000000001,0.0,13-02
44,22.83333333333334,46.68,0.0,14-02
45,22.35,47.125,0.0333333333333333,15-02
46,22.175,46.001666666666665,0.0,16-02
47,21.98333333333333,41.72083333333334,0.0,17-02
48,22.76666666666667,40.75833333333333,0.3999999999999999,18-02
49,23.6,41.91,0.5499999999999999,19-02
50,23.933333333333334,41.585,0.0,20-02
51,23.95833333333333,44.520833333333336,0.0,21-02
52,24.15833333333333,42.47416666666668,0.0,22-02
53,24.558333333333337,40.35666666666667,0.0,23-02
54,24.35,39.83333333333333,0.0,24-02
55,24.016666666666666,39.5675,0.0,25-02
56,23.933333333333334,38.884166666666665,0.1583333333333333,26-02
57,23.85,39.59916666666666,0.0,27-02
58,24.1,38.99583333333333,0.3583333333333333,28-02
59,24.225,40.976666666666674,1.6416666666666666,01-03
60,24.38333333333333,39.705000000000005,0.1083333333333333,02-03
61,24.274999999999995,41.25083333333334,0.25,03-03
62,24.0,43.78,0.3583333333333333,04-03
63,23.95833333333333,45.239166666666655,0.0499999999999999,05-03
64,24.075000000000003,43.095,0.0,06-03
65,24.391666666666666,41.45583333333334,0.0,07-03
66,24.725,40.13666666666666,0.0333333333333333,08-03
67,24.975000000000005,38.99166666666667,0.1833333333333333,09-03
68,24.775,40.602500000000006,0.0166666666666666,10-03
69,24.95,41.31,0.0583333333333333,11-03
70,24.75833333333333,40.813333333333325,0.1666666666666666,12-03
71,24.641666666666666,40.6525,0.8833333333333333,13-03
72,24.741666666666674,38.193333333333335,0.45,14-03
73,25.50833333333333,35.6025,0.075,15-03
74,26.316666666666663,35.724999999999994,0.0166666666666666,16-03
75,26.466666666666665,35.00833333333334,0.0249999999999999,17-03
76,27.041666666666668,34.34,0.0,18-03
77,26.875,33.3425,0.0333333333333333,19-03
78,26.508333333333336,34.23166666666666,0.0,20-03
79,26.48333333333333,35.51166666666666,0.0,21-03
